Title and Author,Links
THE NORTH WATER by Ian McGuire,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=HISTORICAL%20FICTION-,THE%20NORTH%20WATER,-by%20Ian%20McGuire"
THE UNDERGROUND RAILROAD by Colson Whitehead,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=THE%20UNDERGROUND%20RAILROAD
THE VEGETARIAN by Han Kang,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=FICTION-,THE%20VEGETARIAN,-by%20Han%20Kang"
WAR AND TURPENTINE by Stefan Hertmans,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=FICTION-,WAR%20AND%20TURPENTINE,-by%20Stefan%20Hertmans"
AT THE EXISTENTIALIST CAFÉ by Sarah Bakewell,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=AT%20THE%20EXISTENTIALIST%20CAF%C3%89
DARK MONEY by Jane Maye,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=INVESTIGATIVE%20REPORTING-,DARK%20MONEY,-by%20Jane%20Mayer"
"EVICTED by Matthew Desmond
","https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=SOCIOLOGY-,EVICTED,-by%20Matthew%20Desmond"
IN THE DARKROOM by Susan Faludi,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=MEMOIR-,IN%20THE%20DARKROOM,-by%20Susan%20Faludi"
THE RETURN by Hisham Matar,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=MEMOIR-,THE%20RETURN,-by%20Hisham%20Matar"
THE DOOR by Magda Szabo,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=FICTION-,THE%20DOOR,-by%20Magda%20Szabo"
A MANUAL FOR CLEANING WOMEN Lucia Berlin. Edited by Stephen Emerson,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=A%20MANUAL%20FOR%20CLEANING%20WOMEN
OUTLINE by Rachel Cusk,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=FICTION-,OUTLINE,-by%20Rachel%20Cusk"
THE SELLOUT by Paul Beatty,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=SATIRE-,THE%20SELLOUT,-by%20Paul%20Beatty"
THE STORY OF THE LOST CHILD by Elena Ferrante,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=THE%20STORY%20OF%20THE%20LOST%20CHILD
BETWEEN THE WORLD AND ME by ­Ta-­Nehisi Coates,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=BETWEEN%20THE%20WORLD%20AND%20ME
EMPIRE OF COTTON by Sven Beckert,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=HISTORY-,EMPIRE%20OF%20COTTON,-by%20Sven%20Beckert"
H IS FOR HAWK by Helen Macdonald,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=MEMOIR-,H%20IS%20FOR%20HAWK,-by%20Helen%20Macdonald"
THE INVENTION OF NATURE by Andrea Wulf,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=THE%20INVENTION%20OF%20NATURE
ONE OF US by Asne Seier­stad,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-door-magda-szabo:~:text=NONFICTION-,ONE%20OF%20US,-by%20Asne%20Seier%C2%ADstad"
ALL THE LIGHT WE CANNOT SEE by Anthony Doerr,https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=ALL%20THE%20LIGHT%20WE%20CANNOT%20SEE
DEPT. OF SPECULATION by Jenny Offill,https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=DEPT.%20OF%20SPECULATION
EUPHORIA by Lily King,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=HISTORICAL%20FICTION-,EUPHORIA,-by%20Lily%20King"
FAMILY LIFE by Akhil Sharma,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=FICTION-,FAMILY%20LIFE,-by%20Akhil%20Sharma"
REDEPLOYMENT by Phil Klay,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=SHORT%20STORIES-,REDEPLOYMENT,-by%20Phil%20Klay"
CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT? Written and illustrated by Roz Chast,https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=CAN%27T%20WE%20TALK%20ABOUT%20SOMETHING%20MORE%20PLEASANT%3F
ON IMMUNITY by Eula Biss,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=SCIENCE-,ON%20IMMUNITY,-by%20Eula%20Biss"
PENELOPE FITZGERALD by Hermione Lee,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=BIOGRAPHY-,PENELOPE%20FITZGERALD,-by%20Hermione%20Lee"
THE SIXTH EXTINCTION by Elizabeth Kolbert,https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=THE%20SIXTH%20EXTINCTION
THIRTEEN DAYS IN SEPTEMBER by Lawrence Wright,https://www.nytimes.com/interactive/2024/books/top-books-list.html#all-the-light-we-cannot-see-anthony-doerr:~:text=THIRTEEN%20DAYS%20IN%20SEPTEMBER
AMERICANAH by Chimamanda Ngozi Adichie,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=FICTION-,AMERICANAH,-by%20Chimamanda%20Ngozi"
